source,appendix,lake,station,season,sample_date_1971,depth_m,characteristic,value_as_printed,unit_as_printed,value_as_P,below_detection,not_determined,raw_text
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,28,TKN,0.66,mg/L,,FALSE,FALSE,0.66
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,28,o-PO4,0.29,mg/L as PO4,0.09459,FALSE,FALSE,0.29
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,28,t-PO4,0.49,mg/L as PO4,0.15982,FALSE,FALSE,0.49
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,28,SiO2,5.8,mg/L,,FALSE,FALSE,5.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,1,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,1,TKN,0.38,mg/L,,FALSE,FALSE,0.38
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,1,o-PO4,0.005,mg/L as PO4,0.00163,TRUE,FALSE,<0.005
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,1,t-PO4,0.07,mg/L as PO4,0.02283,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,1,SiO2,5.1,mg/L,,FALSE,FALSE,5.1
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,10,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,10,TKN,0.43,mg/L,,FALSE,FALSE,0.43
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,10,o-PO4,0.005,mg/L as PO4,0.00163,TRUE,FALSE,<0.005
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,10,t-PO4,0.06,mg/L as PO4,0.01957,FALSE,FALSE,0.06
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,10,SiO2,5.1,mg/L,,FALSE,FALSE,5.1
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,15,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
